id1,id2,id3,id4,id5,y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215,f216,f217,f218,f219,f220,f221,f222,f223,f224,f225,f226,f227,f228,f229,f230,f231,f232,f233,f234,f235,f236,f237,f238,f239,f240,f241,f242,f243,f244,f245,f246,f247,f248,f249,f250,f251,f252,f253,f254,f255,f256,f257,f258,f259,f260,f261,f262,f263,f264,f265,f266,f267,f268,f269,f270,f271,f272,f273,f274,f275,f276,f277,f278,f279,f280,f281,f282,f283,f284,f285,f286,f287,f288,f289,f290,f291,f292,f293,f294,f295,f296,f297,f298,f299,f300,f301,f302,f303,f304,f305,f306,f307,f308,f309,f310,f311,f312,f313,f314,f315,f316,f317,f318,f319,f320,f321,f322,f323,f324,f325,f326,f327,f328,f329,f330,f331,f332,f333,f334,f335,f336,f337,f338,f339,f340,f341,f342,f343,f344,f345,f346,f347,f348,f349,f350,f351,f352,f353,f354,f355,f356,f357,f358,f359,f360,f361,f362,f363,f364,f365,f366
1366776_189706075_16-23_2023-11-02 22:22:00.042,1366776,189706075,2023-11-02 22:22:00.042,2023-11-02,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,27.1294,,418.2614125177312,4.868919391030028,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,1114698.0,0.0,0.0,0.0,0.0,,0.0,,1114698.0,15174577.0,0.0,,0.0,0.0,0.0,0.0,0.0,15174577.0,0.2156862745098039,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,121.0,63.0,0.0,23.0,104.0,23.0,13.0,0.0,354.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0125,0.0555555555555555,0.0005313496280552,0.0117647058823529,0.0157894736842105,,,0.004594820384294,0.0070351758793969,1.5311100959342168,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.0,445.5172883744984,4.868919391030028,638.7711506045847,3.7321319661472296,0.0076223219950082,0.0083770755109508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,360.07881805753976,379.0,372.3613036362676,1.052547334065723,1.017828641963874,,,,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,29.0,1.0,,2.0,,,,,1.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.102967563837129,0.1399675779235134,0.1139605073678811,0.0952545856699211,0.0800295493720758,0.7356529659561349,1.2282112563054637,1.1963781750390508,244278.0,1388862.0,1388862.0,,,5,80458,1.0,3.0,0.0,Phase_1,,,,-9999.0,0.0,,28.0,0.0,0.0,337.0,0.0,0.0
1366776_89227_16-23_2023-11-01 23:51:24.999,1366776,89227,2023-11-01 23:51:24.999,2023-11-01,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,29.0766,,425.5724932269762,5.218378594534354,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,1114698.0,0.0,0.0,0.0,0.0,,0.0,,1114698.0,15174577.0,0.0,,0.0,0.0,0.0,0.0,0.0,15174577.0,0.2156862745098039,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,121.0,63.0,0.0,23.0,104.0,23.0,13.0,0.0,354.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0125,0.0555555555555555,0.0005313496280552,0.0117647058823529,0.0157894736842105,,,0.004594820384294,0.0070351758793969,1.5311100959342168,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.0,684.6179678517385,5.218378594534354,684.6179678517385,5.218378594534354,0.0076223219950085,0.0076223219950085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,340.2949805979363,354.0,340.2949805979363,1.0402739393275284,1.0402739393275284,,,,0.0,0.0,0.0,0.0,0.0,1.0,-263.0,180.0,1.0055555555555555,250.0,,50.0,,,0.2,-1.0,182.0,181.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0995158687466379,0.0979318459519391,0.0880407124681933,0.0796345566394977,0.070667444922559,1.016174746624057,1.112347267604396,1.1055591464739354,331455.0,2210070.0,12679035.0,,,4,85874,,,,,,,,,0.0,,87.0,0.0,0.0,1010.0,2.0,0.0019801980198019
1366776_35046_16-23_2023-11-01 00:30:59.797,1366776,35046,2023-11-01 00:30:59.797,2023-11-01,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,15.0869,,223.4105528028022,1.3058258449441862,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,986.0,0.0,0.0,0.0,0.0,,0.0,,986.0,14060865.0,0.0,,0.0,0.0,0.0,0.0,0.0,14060865.0,0.0909090909090909,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,114.0,60.0,0.0,21.0,95.0,20.0,12.0,0.0,329.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0158730158730158,0.0350877192982456,0.0006553079947575,0.0070921985815602,0.0130718954248366,,,0.0036082474226804,0.0055452865064695,1.53683654607869,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.0,0.0,247.170217927557,1.3058258449441862,247.170217927557,1.3058258449441862,0.0052831035061307,0.0052831035061307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0,316.3927543148756,329.0,316.3927543148756,1.0398468217529964,1.0398468217529964,,,,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,29.0,1.0,,10.0,,,,,-2.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0839160839160839,0.1221059661620659,0.1035095688582544,0.0820093172190658,0.0686576501227365,0.6872398340037356,1.1796587263277778,1.2621684019360448,242568.0,1323567.0,1323567.0,,,4,1855,,,,,,,,,0.0,,23.0,0.0,0.0,1010.0,2.0,0.0019801980198019
1366776_6275451_16-23_2023-11-02 22:21:32.261,1366776,6275451,2023-11-02 22:21:32.261,2023-11-02,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,27.1294,,418.2614125177312,4.868919391030028,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,1114698.0,0.0,0.0,0.0,0.0,,0.0,,1114698.0,15174577.0,0.0,,0.0,0.0,0.0,0.0,0.0,15174577.0,0.2156862745098039,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,121.0,63.0,0.0,23.0,104.0,23.0,13.0,0.0,354.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0125,0.0555555555555555,0.0005313496280552,0.0117647058823529,0.0157894736842105,,,0.004594820384294,0.0070351758793969,1.5311100959342168,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.0,445.5172883744984,4.868919391030028,638.7711506045847,3.7321319661472296,0.0076223219950082,0.0083770755109508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,360.07881805753976,379.0,372.3613036362676,1.052547334065723,1.017828641963874,,,,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,29.0,1.0,,10.0,,,,,1.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0840757238307349,0.1346067917783735,0.1122791101293783,0.0878528666437969,0.0711640482841692,0.6246023898197008,1.1988587335904886,1.278035816231457,241704.0,1404684.0,1404684.0,,,5,80458,1.0,3.0,0.0,Phase_1,,,,-9999.0,0.0,,277.0,1.0,0.003610108303249,337.0,0.0,0.0
1366776_78053_16-23_2023-11-02 22:21:34.799,1366776,78053,2023-11-02 22:21:34.799,2023-11-02,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,27.1294,,418.2614125177312,4.868919391030028,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,1114698.0,0.0,0.0,0.0,0.0,,0.0,,1114698.0,15174577.0,0.0,,0.0,0.0,0.0,0.0,0.0,15174577.0,0.2156862745098039,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,121.0,63.0,0.0,23.0,104.0,23.0,13.0,0.0,354.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0125,0.0555555555555555,0.0005313496280552,0.0117647058823529,0.0157894736842105,,,0.004594820384294,0.0070351758793969,1.5311100959342168,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.0,445.5172883744984,4.868919391030028,638.7711506045847,3.7321319661472296,0.0076223219950082,0.0083770755109508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,360.07881805753976,379.0,372.3613036362676,1.052547334065723,1.017828641963874,,,,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,29.0,1.0,,8.0,,,,,1.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.083602641562456,0.1244573082489146,0.0958220335652242,0.0815722363898436,0.0682145255684543,0.6717375037169437,1.2988381024516549,1.174689303690033,242541.0,1407105.0,1407105.0,,,5,80458,1.0,3.0,0.0,Phase_1,,,,-9999.0,0.0,,359.0,0.0,0.0,337.0,0.0,0.0
1366776_31794_16-23_2023-11-02 22:21:32.333,1366776,31794,2023-11-02 22:21:32.333,2023-11-02,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,27.1294,,418.2614125177312,4.868919391030028,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,1114698.0,0.0,0.0,0.0,0.0,,0.0,,1114698.0,15174577.0,0.0,,0.0,0.0,0.0,0.0,0.0,15174577.0,0.2156862745098039,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,121.0,63.0,0.0,23.0,104.0,23.0,13.0,0.0,354.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0125,0.0555555555555555,0.0005313496280552,0.0117647058823529,0.0157894736842105,,,0.004594820384294,0.0070351758793969,1.5311100959342168,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.0,445.5172883744984,4.868919391030028,638.7711506045847,3.7321319661472296,0.0076223219950082,0.0083770755109508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,360.07881805753976,379.0,372.3613036362676,1.052547334065723,1.017828641963874,,,,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,29.0,1.0,,6.0,,,,,1.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.1066334302728154,0.1490487034452361,0.1226943411004503,0.1048163013275702,0.0890556011910873,0.7154267552014963,1.214796885564668,1.1705654516181407,245034.0,1402416.0,1402416.0,,,5,80458,1.0,3.0,0.0,Phase_1,,,,-9999.0,0.0,,72.0,0.0,0.0,337.0,0.0,0.0
1366776_664919_16-23_2023-11-01 23:51:25.022,1366776,664919,2023-11-01 23:51:25.022,2023-11-01,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,29.0766,,425.5724932269762,5.218378594534354,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,1114698.0,0.0,0.0,0.0,0.0,,0.0,,1114698.0,15174577.0,0.0,,0.0,0.0,0.0,0.0,0.0,15174577.0,0.2156862745098039,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,121.0,63.0,0.0,23.0,104.0,23.0,13.0,0.0,354.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0125,0.0555555555555555,0.0005313496280552,0.0117647058823529,0.0157894736842105,,,0.004594820384294,0.0070351758793969,1.5311100959342168,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.0,684.6179678517385,5.218378594534354,684.6179678517385,5.218378594534354,0.0076223219950085,0.0076223219950085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,340.2949805979363,354.0,340.2949805979363,1.0402739393275284,1.0402739393275284,,0.0,4.0,,,,,,0.0555555555555555,-16.0,73.0,2.52054794520548,1000.0,,200.0,,,0.2,76.0,108.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394325057375339,0.0373473785013167,0.0439347978265942,0.0485971534552347,0.0530687525293739,189.0,468.0,1318.0,2974.0,7999.0,4793.0,12531.0,29999.0,61197.0,150729.0,1.055830618369738,0.8500637387412752,0.9040611373887312,0.9157395103330512,1.2420605305822718,0.9402724036967004,0.9872470579105268,1.0,0.0,0.0,0.0,0.3140180430256766,0.3233021852696637,0.3486261980830671,0.4110208888613401,0.5232844574780059,0.9712833916162884,0.9273605570876536,0.8481958156649256,122319.0,153450.0,196245.0,0.0600589500065676,3448.0,4,85874,0.0065359477124183,1.013244840757486,1.0,Rest,-0.0062074245484257,0.0031723267270357,0.0009012072983719,0.0389170481461935,0.0,,57.0,1.0,0.0175438596491228,150.0,1.0,0.0066666666666666
1366776_481197_16-23_2023-11-02 22:21:46.374,1366776,481197,2023-11-02 22:21:46.374,2023-11-02,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,27.1294,,418.2614125177312,4.868919391030028,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,1114698.0,0.0,0.0,0.0,0.0,,0.0,,1114698.0,15174577.0,0.0,,0.0,0.0,0.0,0.0,0.0,15174577.0,0.2156862745098039,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,121.0,63.0,0.0,23.0,104.0,23.0,13.0,0.0,354.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0125,0.0555555555555555,0.0005313496280552,0.0117647058823529,0.0157894736842105,,,0.004594820384294,0.0070351758793969,1.5311100959342168,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.0,445.5172883744984,4.868919391030028,638.7711506045847,3.7321319661472296,0.0076223219950082,0.0083770755109508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,360.07881805753976,379.0,372.3613036362676,1.052547334065723,1.017828641963874,,,,,,,,,,,,,,5.0,,,,,1.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,5,80458,1.0,3.0,0.0,Phase_1,,,,-9999.0,0.0,,72.0,0.0,0.0,337.0,0.0,0.0
1366776_78680_16-23_2023-11-02 22:21:03.978,1366776,78680,2023-11-02 22:21:03.978,2023-11-02,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,27.1294,,418.2614125177312,4.868919391030028,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,1114698.0,0.0,0.0,0.0,0.0,,0.0,,1114698.0,15174577.0,0.0,,0.0,0.0,0.0,0.0,0.0,15174577.0,0.2156862745098039,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,121.0,63.0,0.0,23.0,104.0,23.0,13.0,0.0,354.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0125,0.0555555555555555,0.0005313496280552,0.0117647058823529,0.0157894736842105,,,0.004594820384294,0.0070351758793969,1.5311100959342168,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.0,445.5172883744984,4.868919391030028,638.7711506045847,3.7321319661472296,0.0076223219950082,0.0083770755109508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,360.07881805753976,379.0,372.3613036362676,1.052547334065723,1.017828641963874,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,-49.0,152.0,0.8881578947368421,75.0,,20.0,,,0.2666666666666666,45.0,90.0,135.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431460674157303,0.0450654403961797,0.0532423840241982,0.0580429609317132,0.0679669259445583,192.0,637.0,1725.0,3683.0,10538.0,4450.0,14135.0,32399.0,63453.0,155046.0,0.9574092039581604,0.8464204077656963,0.917292694403327,0.8539883204230795,1.1311272686411735,0.92273754378505,1.0741279154132757,1.0,0.0,0.0,0.0,0.1112461437786295,0.108528813559322,0.1021915860406169,0.0984693013009997,0.087271614836069,1.0250378690247286,1.0620132024977698,1.0378014740679329,331875.0,1706328.0,6673959.0,0.0582775744367801,4006.0,5,80458,0.0112359550561797,1.0229875049065216,1.0,Rest,0.005509744776621,0.0026247802491783,0.001691510786431,0.0421764928670622,0.0,,48.0,0.0,0.0,1021.0,2.0,0.0019588638589618
1366776_960643_16-23_2023-11-02 22:22:55.276,1366776,960643,2023-11-02 22:22:55.276,2023-11-02,0,1.0,,,,,,,,,13.0,27.0,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,27.1294,,418.2614125177312,4.868919391030028,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,1114698.0,0.0,0.0,0.0,0.0,,0.0,,1114698.0,15174577.0,0.0,,0.0,0.0,0.0,0.0,0.0,15174577.0,0.2156862745098039,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,121.0,63.0,0.0,23.0,104.0,23.0,13.0,0.0,354.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0125,0.0555555555555555,0.0005313496280552,0.0117647058823529,0.0157894736842105,,,0.004594820384294,0.0070351758793969,1.5311100959342168,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0,0.0,445.5172883744984,4.868919391030028,638.7711506045847,3.7321319661472296,0.0076223219950082,0.0083770755109508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,360.07881805753976,379.0,372.3613036362676,1.052547334065723,1.017828641963874,,,,0.0,0.0,0.0,0.0,0.0,1.0,-60.0,108.0,1.1296296296296295,75.0,,25.0,,,0.3333333333333333,3.0,119.0,122.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909463334698894,0.1098519315079824,0.1098519315079824,0.1098519315079824,0.1098519315079824,444.0,1328.0,1328.0,1328.0,1328.0,4882.0,12089.0,12089.0,12089.0,12089.0,0.827899266052329,1.0,1.0,1.0,0.827899266052329,1.0,1.0,1.0,0.0,0.0,0.0,0.1907577407810798,0.1666212268743914,0.1562711148648648,0.1422492929092443,0.1310788204808607,1.1448585775021562,1.0662317666222374,1.0985721733222713,231075.0,1371915.0,3320991.0,0.1481184936757735,2948.0,5,80458,0.2,1.6487212707001282,0.8646647167633873,Phase_1,0.0317121929627455,-0.0303154444899631,-0.0129923333528413,0.0545678000819336,0.0,,86.0,0.0,0.0,1021.0,2.0,0.0019588638589618
